ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
167	foam	→	chatter, idle talk	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	burah	 'to foam, to fluff, to go up (foam)' 	'to prattle, to quack' 	 	 БАМРС.	 IG
168	to shoot	→	to tell lie	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	buuda-	 'to shoot' 	'to lie' 	 	 БАМРС.	 IG
169	to heat up	—	to get drunk	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	büleese-	 'to heat, to warm up' 	'to get heated (with wine), to be tipsy' 	 	 БАМРС.	 IG
170	to beat, hit	↔	to eat	Accepted	IG	Polysemy	Russian	russ1263	molotit'	 'to thrash (wheat)' 	'уплетать, интенсивно есть' 	 	 	 IG
171	to beat, hit	→	to tell lie	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	gövö-	 'to beat, to knock out, to batter' 	'to lie' 	 	 БАМРС	 IG
172	puppy (of a dog)	→	inexperienced	Accepted	IG	Polysemy	Italian	ital1282	cucciolo	 'puppy' 	'puppy (fig.)' 	 	 	 MR
173	to hunt	→	to flirt	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	göröölö-	 'to hunt' 	'to court, to drag' 	 	 БАМРС.	 IG
174	to braid, plait, weave	→	to copulate	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	göröhüy	 'braiding, plaiting, twisting' 	'sexual intercourse' 	 	 БАМРС.	 IG
175	to put into	→	to eat	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	gudra-	 'to stuff, to ram' 	'to devour' 	 	 БАМРС.	 IG
176	to press down	→	to visit	New	IG	Polysemy	Tibetan	tibe1272	bcar-ba	 'to press, to jam, to squeeze' 	'to visit' 	 	 Рерих 3, 38.	 IG
177	to press down	→	to approach, come near	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	šaha-	 'to press,to wring, to squeeze' 	'to approach' 	 	 БАМРС.	 IG
178	to correct	→	to cure, treat (medically)	New	IG	Polysemy	Tibetan	tibe1272	bcos-byed-pa	 'to amend' 	'to care (sick)' 	 	 Рерих 3, 45	 IG
179	heavy (of weight)	→	stupid	New	IG	Polysemy	Tibetan	tibe1272	lci-ba-nyid	 'heaviness, weight' 	'stupidity' 	 	 Рерих 3, 55.	 IG
180	to break (tr.)	→	to confess	Accepted	IG	Polysemy	Tibetan	tibe1272	'cheg-pa	 'to jab, to pierce' 	'to confess' 	 	 Рерих 3, 165.	 IG
181	naked, bare	→	raw	New	IG	Polysemy	Tibetan	tibe1272	rjen-pa	 'naked, bare' 	'raw, immature' 	 	 Рерих 3, 203	 IG
182	footprint, track	→	behind	New	IG	Derivation	Tibetan	tibe1272	rjes	 'trace'  		 	 Рерих 3, 204, 207	 IG
183	last	→	next	New	IG	Polysemy	Tibetan	tibe1272	rjes-ma	 'last, final' 	'next, future' 	 	 Рерих 3, 207. Derived from rjes 'trace'.	 IG
184	to sleep	—	to copulate	Accepted	IG	Derivation	Ulchi	ulch1241	ав-	 'to sleep' → 		 	 The second word, too, has the meaning of 'to ask in marriage'	 MR
185	to get tired	—	to be ill	New	IG	Polysemy	Tibetan	tibe1272	nyel-ba	 'to get tired' 	'to fall sick' 	 	 Рерих 3, 266.	 IG
186	neck	—	back of the head	New	IG	Polysemy	Ancient Greek	anci1242	αὐχήν	 'neck' 	'back of the head' 	 	 	 MR
187	neck	—	pride	New	IG	Derivation	Old East Slavic	oldr1238	выя	 'neck'  		 	 шрифты, примеры...	 IG
188	flexible	—	compliant, pliable	Accepted	IG	Polysemy	English	stan1293	pliable	 'pliable' 	'pliable, compliant' 	 	 	 IG
189	to get tired	—	to forget	New	IG	Polysemy	Tibetan	tibe1272	mnyel-ba	 'to get tired, to be exhausted' 	'to forget' 	 	 Рерих 3, 288.	 IG
190	heart	→	essence	New	IG	Polysemy	Tibetan	tibe1272	gnad	 'heart' 	'essence, core, sense' 	 	 Рерих V, 79. In this dictionay the abstract meaning is cited as the first one.	 IG
191	<disease>	—	to choose	New	IG	Polysemy	Tibetan	tibe1272	tu-ru-ka	 'Turk, Turkish' 	'moslem' 	 	 Рерих 3, 326.	 IG
192	sign, designation	→	genitalia	Accepted	IG	Polysemy	Sanskrit	sans1269	linˉga	 'sign, symbol' 	'membrum virile' 	 	 Кочергина 554	 MR
193	heel (of a foot)	—	edge	New	IG	Polysemy	Turkish	nucl1301	akap	 'heel' 	'end, result, outcome' 	 	 ТуРС 35.	 IG
194	edge	→	last	New	IG	Polysemy	Tibetan	tibe1272	rting-pa	 'end, lower part of an object' 	'last' 	 	 Рерих 3, 371.	 IG
195	heel (of a foot)	→	behind	New	IG	Polysemy	Tibetan	tibe1272	rting	 'heel (foot)' 	'behind' 	 	 Рерих 3, 370.	 IG
196	brave	—	tiger	New	IG	Polysemy	Tibetan	tibe1272	brtul-phod-can	 'brave, hero' 	'tiger' 	 	 Рерих 3, 423.	 IG
197	to fly away	→	to evaporate, exhale	New	IG	Polysemy	Yakut	yaku1245	көт-	 'to fly (away)' 	'to evaporate' 	 	 ЯРС 182.	 IG
198	to vomit	→	to swear, curse, abuse one another	New	IG	Polysemy	Yakut	yaku1245	кулгуй-	 'to belch, to vomit (generally of dogs and wolves)' 	'to insult, to swear' 	 	 ЯРС 186.	 IG
199	dry	→	in vain	New	IG	Polysemy	Yakut	yaku1245	кураанах	 'dry' 	'empty, hollow, useless' 	 	 ЯРС 191.	 IG
200	to bind	→	acerb, tart, harsh (taste or smell)	New	IG	Derivation	Russian	russ1263	vjazat'	 'to tie, to bind' → 		 	 	 IG
201	simple	—	soon	New	IG	Polysemy	Yakut	yaku1245	дөбөҥ	 'light, easy' 	'quick, fast' 	 	 ЯРС 117. Cf. Also the derived adv. дөбөҥүк1) easily дөбөҥүкөйдөөтө 'understood easily' 2) quickly: үлэтин дөбөҥүк бүтэрбит 'He quickyl finished his work'	 IG
202	cold (adj.)	—	acerb, tart, harsh (taste or smell)	New	IG	Polysemy	Yakut	yaku1245	курас	 'windy, cold, bleak (weather)' 	'tart' 	 	 In (ЯРС 191) the meaning of 'tart' is cited as the soutce one, which is questionable. 	 IG
203	to be jelous	—	to envy	New	IG	Syncretism	Yakut	yaku1245	күнүүлээ-	 'to be jealous' 	'to envy' 	 	 ЯРС 198. күнүү 'jealousy'.	 IG
204	white	→	beautiful	New	IG	Polysemy	Yakut	yaku1245	кэрэ	 'white' 	'beautiful' 	 	 ЯРС 222.	 IG
205	interest	—	respect (n.)	New	IG	Polysemy	Yakut	yaku1245	кэрэхсэбил	 'interest, attention' 	'respect, honour' 	 	 ЯРС 222.	 IG
206	to soil, make dirty	→	to waste	New	IG	Polysemy	Yakut	yaku1245	марайдаа-	 'to soil, to make dirty' 	'to be extravagant' 	 	" ЯРС 235. The Yakut root has been borrowed from the Russian ""марать"" (soil)."	 IG
207	tree	→	coffin	New	IG	Polysemy	Yakut	yaku1245	мас	 'tree' 	'coffin' 	 	 ЯРС 236.	 IG
208	horn	—	bone	New	IG	Polysemy	Yakut	yaku1245	муос	 'horn' 	'bone' 	 	 ЯРС 245. 	 IG
209	bridge	→	floor (vs. ceiling)	New	IG	Borrowing	Russian	russ1263	most	 'bridge'   Yakut 		 	 ЯРС 245. It should be noted that the Yakut word has also the meaning of 'bridge', e.g., өрүhү туоруур муоста 'the bridge across the river'. However, the meaning of 'floor' must have been developed internally in Yakut. (But cf. мостовая? 'pavement').	 IG
210	arrow	→	rainbow	New	IG	Polysemy	Yakut	yaku1245	кустук	 'battle arrow with a head' 	'rainbow' 	 	 ЯРС 193. Подробнее посмотреть этимологию.	 IG
211	shadow	→	reflection	New	IG	Polysemy	Yakut	yaku1245	күлүк	 'shadow' 	'reflection' 	 	 ЯРС 196.	 IG
212	to walk, wander	→	to visit	New	IG	Polysemy	Yakut	yaku1245	күүлэйдээ-	 'to stroll' 	'to visit' 	 	" ЯРС 202. It is notable that the Yakut word has been borrowed from the Rus. ""гулять"""	 IG
213	clean (adj.)	→	totally, absolutely	Accepted	IG	Polysemy	Japanese	nucl1643	kirei (奇麗)	 'clean' 	'fully, completely' 	 	 EDICT.	 IG
214	short (size)	→	poor	New	IG	Polysemy	Yakut	yaku1245	кылгас	 'short, brief' 	'poor' 	 	 ЯРС 206.	 IG
215	to dye	→	to boast	New	IG	Polysemy	Yakut	yaku1245	кырааскалаа-	 'to paint' 	'to whitewash, to embellish' 	 	 Russian borrowing. ЯРС 109.	 IG
216	falcon	→	brawler, fighter	New	IG	Polysemy	Yakut	yaku1245	кырбый	 'red-footed falcon' 	'scrapper' 	 	 ЯРС 210.	 IG
217	to shear	→	to destroy	New	IG	Polysemy	Yakut	yaku1245	кырт-	 'to cut, to clip' 	'to destroy, to annihilate' 	 	 ЯРС 210.	 IG
218	to press down	→	to make do smth.	New	IG	Polysemy	Yakut	yaku1245	кыhай-	 'to press, to squeeze, to fasten' 	'to force' 	 	 ЯРС 212.	 IG
219	to itch	→	to be angry	New	IG	Polysemy	Yakut	yaku1245	кыhый-	 'to itch: to scrape, to scratch' 	'to get irritated, to get annoyed' 	 	 ЯРС 212.	 IG
220	strong	→	strong (of liquid or smell)	Accepted	MR	Polysemy	English	stan1293	strong	 'strong' 	'strong (drinks)' 	 	 The same in Icelandic sterkur (Berkov).	 TM
221	wind	→	anger	New	IG	Polysemy	Yakut	yaku1245	кыыдаан	 'strong wind, snowstorm' 	'wrath: rigour, severity' 	 	 ЯРС 215.	 IG
222	brain (cerebrum)	—	head	New	IG	Cognates	Yakut	yaku1245	мэйии	 'brain'  — Yakut 	brain	 	 ЯРС 247. They are cognates because there is a relationship between the dialect and the standard froms.	 IG
223	power, authority	→	country, land	Accepted	IG	Polysemy	Thai	thai1261	am-nāt	 'power' 	'power' 	 	 Morev 1964, 888	 MR
224	strength	→	army	New	IG	Polysemy	German	stan1295	Macht	 'force' 	'army' 	 	 	 IG
225	skilful, dexterous	—	comfortable	New	IG	Polysemy	Yakut	yaku1245	нымса	 'quick, nimble, deft' 	'comfortable (clothes)' 	 	 ЯРС 256.	 IG
226	wide, broad	—	flat (adj)	New	IG	Polysemy	Ancient Greek	anci1242	πλατύς	 'wide' 	'flat' 	 	 	 MR
227	to present, gift	—	to deceive	New	IG	Polysemy	Yakut	yaku1245	ньымаат	 'present, gift' 	'deception, trick' 	 	 ЯРС 263. There are also derived verbs: ньымааттаа- 1) to gift 2) to deceive, to dodge	 IG
228	to spring, jump	→	to rise (of heavenly bodies)	New	IG	Polysemy	Yakut	yaku1245	ой-	 'to jump, to hop: o overleap, to overjump' 	'to rise (sun)' 	 	 ЯРС 267.	 IG
229	to sit	→	to deliver (a child)	New	IG	Polysemy	Yakut	yaku1245	олур-	 'to sit (down)' 	'to give birth (woman)' 	 	 ЯРС 270.	 IG
230	bowels, intestine	→	pregnant	New	IG	Derivation	Yakut	yaku1245	оhоҕос	 'guts' → 		 	 ЯРС 279. The form оhоҕостоох literally means 'with guts'.	 IG
231	to die, pass away	→	very	New	IG	Derivation	Russian	russ1263	smert'	 'death'  		 	 	 IG
232	to die, pass away	→	eclipse	New	IG	Polysemy	Yakut	yaku1245	өлүү	 'death' 	'eclipse' 	 	 ЯРС 286.	 IG
233	long (period of time)	—	long ago	New	IG	Polysemy	Yakut	yaku1245	өр	 'for long' 	'long ago' 	 	 ЯРС 287.	 IG
234	to cover	→	to copulate	New	IG	Polysemy	English	stan1293	to cover	 'to cover' 	'to cover (mare)' 	 	 	 IG
235	thick (of a growth, hair)	→	low (of voice)	New	IG	Polysemy	Russian	russ1263	gustoj	 'thick' 	'deep' 	 	 	 IG
236	inner side of hide	—	bast, the layer under the bark	New	IG	Polysemy	Yakut	yaku1245	суба	 'flesh, fleshing' 	'bast (broad-leved trees)' 	 	 ЯРС 339.	 IG
237	to tear off, peel off	→	to carp, find faults	New	IG	Polysemy	Yakut	yaku1245	сулуй-	 'to bark, to clip: to separate' 	'to nag, to nark' 	 	 ЯРС 341.	 IG
238	footprint, track	→	affair	New	IG	Polysemy	Yakut	yaku1245	суол	 'trace, traces' 	'business, job' 	 	 ЯРС 342.	 IG
239	to make scratches	→	to write	New	IG	Polysemy	Yakut	yaku1245	суруй-	 'to scratch, to draw a line (with a sharp object)' 	'to write' 	 	 ЯРС 345. It has been possibly borrowed from the Mong. Зурах.	 IG
240	to wash	→	to celebrate	New	IG	Polysemy	Yakut	yaku1245	сууй	 'to wash' 	'to wet, to celebrate' 	 	 ЯРС 346. An apparent calque from Rus.	 IG
241	to present, gift	—	to forgive	New	IG	Polysemy	Turkish	nucl1301	bağışla-	 'to give, to grant, to bestow' 	'to forgive, to amnesty' 	 	 ТуРС 89.	 IG
242	to grasp, seize	—	to understand	Accepted	AZ	Polysemy	Korean	kore1280	phaak	 'grasping, seizing, grabbing' 	'understanding' 	 	 Haser 2000, 179	 MR
243	opposite	—	enemy	Accepted	IG	Polysemy	Tibetan	tibe1272	bzlog-phyogs	 'the opposite side' 	'enemy, adverse' 	 	 	 IG
244	lower part	—	behind	New	IG	Polysemy	Tibetan	tibe1272	og-ma	 'bottom' 	'rear, last' 	 	 Рерих VIII, 211.	 IG
245	to suffer	—	to fear	New	IG	Polysemy	Tibetan	tibe1272	ya-da	 'suffering, torment, pain' 	'fear, fearful, terrible' 	 	 Рерих VIII, 224.	 IG
246	amazing	—	fearful, dreadful	Accepted	IG	Syncretism	Geez	geez1241	gərum	 ''wondrous, amazing, marvelous, majestic, tremendous'' 	''terrible, dreadful, terrifying, awesome, awful, fearful'' 	 	 (LGz. 203) meaning A has components of meaning B in it (awesome)	 MB
247	good	→	new	New	IG	Polysemy	Tibetan	tibe1272	yag-ma	 'good' 	'new, fresh' 	 	 Рерих VIII, 228.	 IG
248	top	—	good	New	IG	Polysemy	Tibetan	tibe1272	yang-rtse	 'the top' 	'first best, exceptional' 	 	 Рерих VIII, 233.	 IG
249	to diminish	—	tasteless	New	IG	Polysemy	Tibetan	tibe1272	yal-ba	 'to be reduced, to diminish, to decrease' 	'to be tasteless' 	 	 Рерих VIII, 244.	 IG
250	mind (n.)	—	location of emotions	New	IG	Polysemy	Tibetan	tibe1272	yid	 'mind, sense, intellect' 	'heart, soul (the seat of emotions, feelings, moods)' 	 	 Рерих VIII, 252.	 IG
251	to understand	—	to recall, recollect	New	IG	Polysemy	Tibetan	tibe1272	yid-la-adzin-pa	 'to understand, to perceive' 	'to remember' 	 	 Рерих VIII, 260.	 IG
252	curved	—	untruth	New	IG	Polysemy	Yakut	yaku1245	токур	 'crooked, curved' 	'dishonest' 	 	 ЯРС 388.	 IG
253	right (vs. left)	—	thief	New	IG	Polysemy	Tibetan	tibe1272	gyas-ma	 'the one on the right side' 	'thief' 	 	 Рерих VIII, 298.	 IG
254	light, bright	→	clever	New	IG	Polysemy	Tibetan	tibe1272	gyeng-po	 'clear' 	'knowledgeable, intelligent, wise' 	 	 Рерих VIII, 304.	 IG
255	wave	—	sail (n.)	New	IG	Polysemy	Tibetan	tibe1272	gyor-mo	 'wave' 	'sail' 	 	 Рерих VIII, 310.	 IG
256	flat (adj)	—	equal	Accepted	IG	Polysemy	Sanskrit	sans1269	samá	 'even, smooth (surface)' 	'equal, same' 	 	 Кочергина 692	 MR
257	pot	—	womb	Accepted	IG	Polysemy	Tibetan	tibe1272	phru	 'pottery, earthenware' 	'womb' 	 	 Рерих VI, 115.	 IG
258	to throw	—	to think	New	IG	Polysemy	Tibetan	tibe1272	aphen-pa	 'to throw, to cast, to launch' 	'to think over, to reflect' 	 	 Рерих VI, 130. If they are not homonyms.	 IG
259	to crawl	→	snake	Accepted	IG	Cognates	Old High German	stan1295	slingan	 'to turn, to coil'  → Old High German 	to turn, to coil	 	 Hence Dan. slange, Dut. slang, Germ. schlange 'snake'	 MR
260	to float	—	to soar	Accepted	IG	Polysemy	Khmer	khme1253	sat	 'to float' 	'to float (in air)' 	 	 Gorgoniev 1984, 700	 MR
261	thief	—	profligate, womanizer	Suspended	IG	Polysemy	Tibetan	tibe1272	byi-bo	 'thief' 	'adulterer, debauchee' 	 	 Рерих VI, 222.	 IG
262	sad	—	fool	Suspended	IG	Polysemy	Tibetan	tibe1272	blo-blong-ba	 'to be unhappy, upset' 	'to be ignorant' 	 	 Рерих VI, 263	 IG
263	people, nation	—	servant	Suspended	IG	Polysemy	Farsi	fars1255	ил	 'people, tribe' 	'subjects' 	 	 ПРС 90. Cf. also 'подчинение, повиновение, покорность' (submission, obedience)	 IG
264	to try, to attempt	—	to care for, look after	New	IG	Polysemy	Tibetan	tibe1272	abad-pa	 'to attempt, to try, to strive' 	'to care, to bring up' 	 	 Рерих VI, 300.	 IG
265	to go down	—	to come (of an event)	New	IG	Polysemy	Turkish	nucl1301	çök-	 'to settle, to sediment, to subside' 	'to come (night, silence)' 	 	 ТуРС 199.	 IG
266	to go down	→	to appoint (to a position)	New	IG	Polysemy	Tibetan	tibe1272	abebs-pa	 'to lower, to go down' 	'to appoint, to designate' 	 	 Рерих VI, 310. Meaning А - to lower?	 IG
267	numerous	—	cheap	New	IG	Polysemy	Tibetan	tibe1272	abel-po	 'numerous, abundant' 	'cheap' 	 	 Рерих VI, 310.	 IG
268	to sink into	—	gloomy	New	IG	Polysemy	Japanese	nucl1643	shizumu (沈む)	 'to sink, to dive' 	'to get depressed' 	 	 ЯРИРЯС 184.	 IG
269	to dig	—	to investigate	Accepted	IG	Polysemy	Spanish	stan1288	cavar	 'to dig (a hole): to trench' 	'to ponder' 	 	 Narumov 1995: 182	 MR
270	to dig	—	angry	New	IG	Polysemy	Tibetan	tibe1272	abru-ba	 'to dig' 	'to annoy, to irritate' 	 	 Рерих VI, 333.	 IG
271	narrow, close	—	boring	New	IG	Polysemy	Tibetan	tibe1272	sbugs-srub-dog-po	 'narrow, tight' 	'boring' 	 	 Рерих VI, 349.	 IG
272	servant	→	I	Accepted	IG	Semantic evolution	Vietnamese	viet1252	tŏi, tố	 'servant'   Vietnamese 		 	 Babaev 2009, 122	 MR
273	lord	→	you	Accepted	MR	Semantic evolution	Burmese	nucl1310	minx	 'king' 	Burmese 	 	 Babaev 2009, 122	 MR
274	bitter	→	beautiful	New	IG	Polysemy	Farsi	fars1255	тäлхäк	 'bitterish' 	'nice, pretty' 	 	 ПРС 213. Cf. тäлх 'bitter'.	 IG
275	poisonous	→	sarcastic	New	IG	Polysemy	Yakut	yaku1245	сүлүhүннээх	 'poisonous' 	'spiteful, malicious' 	 	 ЯРС 348. In fact, there is also the word сүлүhүн 1) poison: 2) malice, venom.	 IG
276	expensive	↔	important	Accepted	IG	Polysemy	Russian	russ1263	cennyj	 'valuable' 	'valuable' 	 	 	 IG
277	to bend, bow (intr.)	→	tender (adj.)	New	IG	Polysemy	Yakut	yaku1245	сытыары	 'downhill' 	'meek' 	 	" ЯРС 363. Derived from сытыар- ""to put""."	 IG
278	stone, rock	—	glass (material)	New	IG	Polysemy	Yakut	yaku1245	таас	 'stone' 	'glass' 	 	 ЯРС 371.	 IG
279	finger/toe	→	spoke	New	IG									
280	to pull	→	to get a cramp, spasm	New	IG	Polysemy	Yakut	yaku1245	тарт-	 'to pull, to draw' 	'to cramp' 	 	 ЯРС 377.	 IG
281	to pull	→	to thresh (grain)	New	IG	Polysemy	Yakut	yaku1245	тарт-	 'to pull, to draw' 	'to thresh' 	 	 ЯРС 377.	 IG
282	to pull	→	to hinder	New	IG	Polysemy	Yakut	yaku1245	тарт-	 'to pull, to draw' 	'to delay' 	 	 ЯРС 377.	 IG
283	to sting	—	to sew	New	IG	Polysemy	Yakut	yaku1245	тик-	 'to sting' 	'to sew' 	 	 ЯРС 383.	 IG
284	to sweep	→	to refuse	New	IG	Polysemy	Yakut	yaku1245	тип-	 'to sweep, to drift' 	'to refuse resolutely' 	 	 ЯРС 384.	 IG
285	dust	—	hail	New	IG	Cognates	Yakut	yaku1245	тобурах	 'horn beech'   Yakut 	horn beech	 	 ЯРС 387.	 IG
286	to become curved	—	to die, pass away	New	IG	Polysemy	Russian	russ1263	zagibat'sja	 'to ply' 	'to die' 	 	 	 IG
287	to strew	→	to hinder	New	IG	Polysemy	Yakut	yaku1245	тох-	 'to scatter, to pour' 	'to ruin, to scuttle' 	 	 ЯРС 393.	 IG
288	to open (tr.)	→	to waste	New	IG	Polysemy	Turkish	nucl1301	açıl-	 'to open' 	'to make big expenses, to spend much money' 	 	 ТуРС 23.	 IG
289	to open (tr.)	→	to find	New	IG	Polysemy	Russian	russ1263	otkryvat'	 'to open' 	'to make a discovery' 	 	 	 IG
290	to open (tr.)	→	to rest	New	IG	Polysemy	Turkish	nucl1301	açıl-	 'to open' 	'to amuse' 	 	 ТуРС 23	 IG
291	custom, habit	→	menstruation	New	IG	Polysemy	Turkish	nucl1301	âdet	 'custom, habit' 	'menstrual flux' 	 	 ТуРС 26.	 IG
292	shoulder	→	support (n.)	New	IG	Polysemy	Turkish	nucl1301	adut	 'shoulder (upper part of the arm up to the elbow)' 	'support' 	 	 ТуРС 26.	 IG
293	<insect>	→	talkative person	New	IG	Polysemy	Turkish	nucl1301	ağustos böceği	 'balm cricket' 	'chatterbox, babbler' 	 	 ТуРС 32.	 IG
294	to flow	→	to crawl	New	IG	Polysemy	Turkish	nucl1301	ak-	 'to flow, to leak, to ooze' 	'to creep, to slither (e.g. snake)' 	 	 ТуРС 39.	 IG
295	to flow	→	meteor shower	New	IG	Polysemy	Turkish	nucl1301	ak-	 'to flow, to leak, to ooze' 	'to fall (stars)' 	 	 ТуРС 39.	 IG
296	forehead	→	front part	New	IG	Polysemy	Amharic	amha1245	gənbar	 'forehead, brow' 	'the front part of s.th., forward part of a ship' 	 	 (K 2003)	 MB
297	god	—	very	New	IG	Polysemy	Turkish	nucl1301	Allah	 'God' 	'first component of comounds, intensifies the meaning of the second component' 	 	 ТуРС 48.	 IG
298	mother	—	main	New	IG	Polysemy	Turkish	nucl1301	ana	 'mother' 	'main, basic, principal' 	 	 ТуРС 54. Калька с арабского? МБ	 IG
299	naked, bare	—	deprived of, lacking	Accepted	IG	Polysemy	Classical Arabic	stan1318	ʕariya	 'to be naked' 	'to be fbecome) exempt, free from something' 	 	 Lane 2029	 MB
300	pear	→	fool	New	IG	Polysemy	Turkish	nucl1301	armut	 'pear (fruit)' 	'idiot, dupe (argot)' 	 	 ТуРС 64.	 IG
301	to throw	→	to come (of an event)	New	IG	Polysemy	Turkish	nucl1301	at-	 'to throw, to cast' 	'to come, to begin' 	 	 ТуРС 76.	 IG
302	to throw	→	to tell lie	New	IG	Polysemy	Turkish	nucl1301	at-	 'to throw' 	'to lie' 	 	 ТуРС 76.	 IG
303	foot/leg	→	step (of a staircase, step-ladder)	New	IG	Polysemy	Turkish	nucl1301	ayak	 'foot, leg' 	'step' 	 	 ТуРС 78.	 IG
304	foot/leg	→	step, pace	New	IG	Polysemy	Turkish	nucl1301	ayak	 'foot, leg' 	'step' 	 	 ТуРС 78.	 IG
